IDMachines,PeopleAtwork,StreetLights,Accidents,DamagedMovers,StRoadLength,RoadCurvature,HPBends,RoadType,RoadWidth,AvgSpeed,AgeOfRoad,RoadSurface
10,16,889,0,7,7899,77.42,13,0,95,0.14,0,Good
3,10,557,46,2,1722,231.69,39,2,28,3.77,12,Poor
8,20,943,14,9,8923,56.22,6,0,89,0.21,0,Good
10,17,893,2,7,5767,79.2,10,0,100,0.34,6,Good
3,9,404,48,2,1258,220.27,45,2,28,3.04,15,Poor
9,20,810,8,8,5010,59.47,4,0,79,0.15,1,Good
2,7,517,40,1,1910,231.32,37,2,34,3.67,15,Poor
6,15,762,20,5,4741,133.39,28,1,51,0.9,7,Avg
9,20,1032,12,7,5490,13.75,13,0,89,0.29,3,Good
6,12,677,35,5,3921,135.41,24,1,51,0.66,7,Avg
3,9,419,43,3,1255,230.21,38,2,24,2.91,14,Poor
10,19,993,8,9,8146,35.41,0,0,90,0.25,1,Good
9,20,926,5,8,8525,57.25,8,0,80,0.15,3,Good
4,12,723,31,4,2498,127.13,15,1,55,1.21,6,Avg
1,10,558,46,1,1392,157.29,40,2,40,3.28,12,Poor
2,7,524,43,1,1220,159.29,31,2,32,3.76,15,Poor
7,20,883,16,7,5792,37.92,4,0,87,0.13,2,Good
3,10,402,41,3,1427,231.61,40,2,36,3.93,15,Poor
10,20,1074,9,9,6019,16.66,8,0,75,0.32,7,Good
8,17,871,10,9,7554,62.87,9,0,78,0.33,4,Good
5,13,638,32,6,2751,110.54,22,1,48,1.08,8,Avg
6,15,629,30,6,4178,84.49,28,1,59,0.52,7,Avg
10,18,827,0,10,7393,81.58,5,0,96,0.18,3,Good
2,8,483,50,2,1227,247.94,49,2,22,2.79,13,Poor
7,18,826,19,9,7825,89.41,0,0,73,0.46,3,Good
9,19,1006,12,9,6869,37.91,13,0,84,0.46,2,Good
10,19,946,18,9,7317,4.72,0,0,64,0.37,3,Good
10,19,992,8,8,8847,19.0,11,0,89,0.43,4,Good
6,11,672,22,5,3682,89.14,26,1,52,1.13,8,Avg
8,20,1043,12,7,5148,47.09,8,0,73,0.22,3,Good
4,12,649,28,4,3302,139.27,21,1,54,0.98,9,Avg
8,20,909,15,7,6647,17.77,12,0,62,0.13,5,Good
1,9,406,48,3,1599,188.16,30,2,37,2.95,15,Poor
2,8,423,50,3,1624,199.06,50,2,38,3.15,15,Poor
4,13,769,36,6,3472,128.23,24,1,51,1.1,11,Avg
5,15,609,38,4,3577,137.35,21,1,42,0.74,10,Avg
2,7,599,40,3,1973,221.77,38,2,21,2.68,12,Poor
1,10,557,48,1,1268,220.97,43,2,38,3.1,12,Poor
9,17,929,1,7,7600,69.71,1,0,73,0.14,5,Good
1,9,425,50,2,1102,240.68,47,2,37,3.19,10,Poor
5,13,712,26,6,4646,80.77,19,1,58,1.42,7,Avg
5,11,787,29,5,3028,97.56,22,1,42,0.8,9,Avg
6,13,693,29,6,3645,91.08,28,1,47,0.82,9,Avg
1,8,570,40,1,1984,163.6,34,2,32,3.16,11,Poor
5,15,713,39,6,4946,105.49,21,1,55,0.66,10,Avg
2,8,597,45,2,1552,236.35,48,2,38,3.37,10,Poor
8,19,889,6,7,6071,51.84,2,0,95,0.36,3,Good
8,19,984,13,7,8107,54.56,2,0,87,0.11,0,Good
9,17,1012,7,9,6677,19.28,9,0,96,0.16,3,Good
8,16,903,6,9,7681,2.02,9,0,82,0.3,1,Good
5,12,660,20,6,4616,111.67,23,1,54,1.24,8,Avg
2,8,441,45,2,1468,196.35,37,2,23,2.51,13,Poor
4,11,686,24,5,3759,101.55,20,1,47,1.46,7,Avg
2,7,546,48,3,1774,218.5,34,2,38,3.63,12,Poor
4,13,677,32,4,4491,85.28,25,1,51,1.36,6,Avg
6,14,789,38,4,2780,121.41,26,1,49,1.36,8,Avg
5,11,755,27,6,4681,114.23,24,1,56,1.05,8,Avg
6,13,653,20,5,3235,122.3,16,1,44,0.94,10,Avg
4,15,758,39,5,2978,137.72,29,1,50,1.34,9,Avg
1,8,486,47,1,1707,166.74,39,2,26,3.48,11,Poor
3,9,462,44,3,1338,192.57,47,2,23,2.92,12,Poor
7,19,1005,12,10,8463,75.77,6,0,68,0.21,7,Good
8,17,807,6,7,5226,77.14,10,0,90,0.31,3,Good
4,11,798,22,6,3419,116.92,20,1,44,0.7,8,Avg
4,13,664,20,6,4255,115.84,23,1,49,1.34,8,Avg
2,8,439,40,3,1042,223.93,39,2,21,2.88,14,Poor
4,13,678,32,4,3330,83.28,25,1,54,1.1,10,Avg
5,11,749,22,6,3868,135.05,20,1,58,0.98,9,Avg
3,8,589,46,2,1023,221.49,39,2,23,3.98,14,Poor
2,9,480,45,2,1493,246.28,41,2,36,3.76,12,Poor
9,19,1000,17,10,6080,84.84,11,0,86,0.2,2,Good
7,17,1087,4,8,8459,43.84,1,0,96,0.32,6,Good
2,9,479,41,3,1823,155.84,34,2,40,3.89,15,Poor
3,7,459,41,3,1946,162.83,40,2,22,3.54,15,Poor
10,18,888,11,9,8880,31.9,5,0,62,0.49,4,Good
7,17,934,2,8,6905,64.9,8,0,91,0.41,0,Good
8,17,994,15,10,5070,62.52,10,0,62,0.45,4,Good
7,20,857,19,9,5309,91.42,4,0,88,0.49,4,Good
2,8,530,45,3,1106,154.83,46,2,39,3.68,13,Poor
3,9,522,42,3,1063,208.67,34,2,30,3.43,11,Poor
1,9,508,44,1,1153,162.28,48,2,39,3.99,14,Poor
5,14,656,31,5,3926,114.15,22,1,55,1.35,9,Avg
4,12,604,29,4,3262,81.12,20,1,58,0.71,10,Avg
3,8,524,43,1,1191,203.8,31,2,21,3.38,11,Poor
9,20,1048,2,7,8357,58.55,7,0,82,0.11,4,Good
1,8,555,43,2,1713,230.42,41,2,30,3.74,10,Poor
6,14,655,37,4,2466,146.89,28,1,41,1.16,7,Avg
2,7,522,48,2,1538,248.04,31,2,37,3.97,12,Poor
1,8,459,49,2,1271,186.88,32,2,28,2.59,14,Poor
1,7,518,48,3,1985,185.82,42,2,40,2.61,10,Poor
2,10,509,45,3,1139,166.64,30,2,40,3.51,10,Poor
3,10,589,45,2,1706,230.65,39,2,33,3.27,12,Poor
2,9,581,44,2,1788,168.01,49,2,23,3.85,10,Poor
3,10,426,48,3,1042,152.96,47,2,31,2.96,12,Poor
4,14,706,33,4,3210,85.63,23,1,56,1.38,9,Avg
9,17,864,6,7,5120,10.96,13,0,73,0.25,6,Good
2,9,530,48,2,1205,234.01,50,2,36,3.51,15,Poor
9,17,1036,7,8,8192,55.11,9,0,81,0.24,0,Good
9,20,817,17,10,8304,82.64,6,0,84,0.11,7,Good
9,20,914,11,10,6218,27.13,11,0,95,0.26,0,Good
7,20,1025,1,10,7277,2.08,1,0,70,0.1,0,Good
2,9,533,40,2,1784,226.77,49,2,39,2.82,13,Poor
4,15,693,36,5,2997,122.82,16,1,53,0.71,7,Avg
5,15,791,20,4,4407,77.3,24,1,47,1.18,8,Avg
2,7,508,45,1,1864,171.87,31,2,24,3.92,10,Poor
5,14,662,39,4,2154,98.42,29,1,41,0.77,11,Avg
5,13,622,32,5,2870,109.18,17,1,57,0.7,8,Avg
4,14,640,28,6,3761,117.86,29,1,41,0.99,8,Avg
2,8,550,40,1,1052,238.44,33,2,22,3.71,15,Poor
3,8,511,46,2,1181,225.2,32,2,31,2.54,12,Poor
3,7,428,50,2,1205,209.95,34,2,25,3.53,14,Poor
5,12,692,31,6,4515,134.32,21,1,45,0.57,10,Avg
10,16,911,10,9,6078,4.57,5,0,84,0.37,3,Good
3,9,416,41,3,1685,234.67,40,2,32,3.97,14,Poor
4,15,752,25,6,2643,93.77,25,1,56,1.11,8,Avg
3,8,437,49,1,1866,172.27,38,2,33,3.11,12,Poor
2,8,407,49,2,1151,150.49,38,2,22,3.47,13,Poor
4,14,623,37,4,2529,117.28,28,1,51,0.96,8,Avg
4,11,620,33,6,3291,81.14,15,1,54,1.29,11,Avg
7,17,1066,8,8,6381,70.83,8,0,81,0.2,4,Good
4,14,665,25,4,3109,101.11,16,1,59,1.18,11,Avg
8,17,856,3,10,5950,36.82,1,0,89,0.14,5,Good
1,8,432,43,2,1381,177.96,35,2,25,3.27,11,Poor
6,15,748,35,4,3778,86.43,16,1,48,0.76,9,Avg
10,19,1000,5,7,6049,15.1,0,0,65,0.27,0,Good
7,17,1055,0,8,7874,62.27,7,0,70,0.31,0,Good
2,9,553,42,2,1657,217.21,45,2,40,3.29,14,Poor
3,7,473,48,3,1316,224.81,49,2,25,2.75,12,Poor
1,7,550,47,2,1342,161.05,47,2,35,3.82,12,Poor
4,14,757,22,5,4943,95.08,18,1,47,1.44,9,Avg
2,9,491,48,3,1888,176.08,42,2,35,3.39,14,Poor
4,13,740,38,5,2725,101.7,27,1,53,1.17,9,Avg
10,16,803,16,9,5648,93.24,7,0,95,0.12,2,Good
5,13,658,38,4,3165,94.74,21,1,42,0.64,6,Avg
3,10,512,50,1,1980,201.85,50,2,31,2.55,15,Poor
1,8,570,44,3,1127,178.78,35,2,21,3.57,14,Poor
8,18,1029,2,9,7918,32.11,1,0,72,0.13,4,Good
2,10,439,48,1,1959,183.47,31,2,26,3.6,15,Poor
8,17,1034,3,8,6094,48.92,11,0,68,0.47,3,Good
4,13,721,29,4,2470,92.1,23,1,43,0.8,8,Avg
1,10,569,46,3,1502,230.22,47,2,30,2.53,12,Poor
5,13,788,31,6,3101,138.65,19,1,55,0.89,8,Avg
2,7,492,41,3,1784,167.43,50,2,26,2.53,15,Poor
2,7,542,44,2,1606,229.68,46,2,29,3.22,11,Poor
6,11,733,36,4,2917,142.0,21,1,51,1.12,8,Avg
2,9,459,48,2,1721,158.05,49,2,34,3.85,15,Poor
5,13,797,27,5,3782,91.77,20,1,51,0.55,7,Avg
4,12,772,34,6,2222,112.41,16,1,42,0.56,10,Avg
2,8,487,50,2,1731,178.08,50,2,31,3.55,10,Poor
5,12,691,38,5,2767,128.39,23,1,45,1.31,9,Avg
1,7,468,49,2,1052,227.05,35,2,23,3.65,10,Poor
6,12,785,27,5,4795,125.19,21,1,60,1.34,8,Avg
6,14,759,20,6,4163,92.57,18,1,58,0.55,9,Avg
2,7,498,50,1,1216,180.37,42,2,26,2.92,15,Poor
10,18,1003,14,9,7022,51.94,8,0,88,0.11,0,Good
1,8,470,42,1,1364,173.51,41,2,38,2.53,15,Poor
2,9,533,43,2,1567,223.35,35,2,36,3.31,12,Poor
1,8,539,45,1,1401,219.22,48,2,24,3.96,10,Poor
6,15,778,26,5,2937,112.86,27,1,60,1.43,9,Avg
8,16,1027,10,7,7970,42.34,13,0,79,0.44,3,Good
2,10,416,47,3,1225,206.76,44,2,40,2.75,13,Poor
9,20,856,16,10,7447,18.6,0,0,100,0.18,2,Good
8,19,962,18,9,7931,60.8,9,0,93,0.36,7,Good
2,10,460,46,1,1027,193.39,41,2,40,3.23,11,Poor
4,13,696,28,4,4069,128.7,23,1,53,0.7,11,Avg
1,10,501,47,1,1368,193.41,48,2,23,3.13,14,Poor
10,16,928,2,9,7627,15.39,10,0,61,0.19,1,Good
1,7,526,42,1,1713,196.03,35,2,27,3.31,11,Poor
7,19,994,19,9,7773,55.67,14,0,98,0.43,1,Good
9,19,995,14,9,8292,75.19,6,0,89,0.18,0,Good
3,7,467,43,3,1593,167.38,50,2,33,3.5,13,Poor
4,11,716,31,4,3064,137.54,22,1,57,1.31,8,Avg
5,15,756,28,6,4437,128.82,28,1,60,1.3,9,Avg
2,10,427,49,2,1832,152.53,42,2,37,3.29,11,Poor
4,12,787,31,5,3319,104.33,28,1,46,1.04,8,Avg
5,12,781,23,6,3885,99.06,26,1,41,0.69,9,Avg
10,20,827,11,10,6285,20.27,9,0,72,0.14,2,Good
7,19,1038,1,9,8834,35.29,4,0,90,0.19,1,Good
2,9,501,43,1,1943,184.87,33,2,35,2.95,10,Poor
5,11,791,39,4,2057,117.64,16,1,47,1.16,9,Avg
5,15,681,25,5,3550,116.03,28,1,52,0.61,10,Avg
7,19,1085,18,9,6817,7.13,10,0,76,0.14,1,Good
6,14,701,31,6,3319,114.82,19,1,53,0.64,8,Avg
10,17,1036,2,10,8988,56.86,11,0,65,0.44,3,Good
9,17,1096,11,9,8900,16.5,1,0,92,0.17,0,Good
7,16,1057,16,8,5818,50.34,8,0,76,0.19,7,Good
8,18,1063,2,10,8694,82.03,6,0,68,0.25,0,Good
6,15,773,30,6,2420,124.41,21,1,56,1.18,11,Avg
2,9,474,46,2,1353,246.95,30,2,29,3.49,14,Poor
3,9,528,40,1,1556,230.48,44,2,31,3.17,14,Poor
4,13,707,21,5,4368,127.04,21,1,43,1.36,8,Avg
10,20,1007,9,9,6694,28.9,13,0,94,0.12,2,Good
8,19,931,5,7,5961,53.7,7,0,75,0.15,2,Good
2,7,594,50,2,1499,207.13,33,2,30,3.41,15,Poor
10,18,1033,3,7,6263,14.59,1,0,100,0.22,0,Good
9,16,867,9,10,6847,61.02,10,0,99,0.18,7,Good
4,15,708,26,6,4834,112.0,24,1,48,0.58,9,Avg
8,19,850,0,8,5278,93.25,5,0,70,0.35,3,Good
6,13,683,21,5,4701,77.18,21,1,45,0.87,8,Avg
7,19,828,14,9,7541,0.33,4,0,99,0.17,0,Good
4,13,626,32,6,3359,95.51,17,1,51,1.18,10,Avg
3,10,407,46,2,1003,163.8,50,2,39,2.57,10,Poor
6,15,756,29,6,2901,84.31,19,1,56,0.89,8,Avg
8,20,1008,15,7,6725,27.07,6,0,65,0.14,1,Good
7,19,986,13,10,6566,57.34,9,0,86,0.39,2,Good
5,12,649,31,5,2362,106.74,21,1,47,0.57,8,Avg
9,16,862,5,9,6178,6.95,10,0,77,0.27,0,Good
6,14,719,34,4,2884,88.21,17,1,52,0.79,11,Avg
3,10,577,40,3,1144,160.15,44,2,33,2.57,15,Poor
3,10,559,49,2,1479,230.4,38,2,26,3.38,11,Poor
5,12,641,28,6,3240,89.93,29,1,54,1.17,7,Avg
9,16,944,18,10,6152,7.85,7,0,82,0.4,4,Good
6,12,659,23,4,2650,136.85,29,1,60,0.58,9,Avg
3,8,435,40,3,1438,231.84,41,2,25,3.74,15,Poor
6,13,603,36,4,3906,133.89,23,1,41,0.88,10,Avg
2,8,553,50,2,1389,225.95,46,2,23,3.14,12,Poor
1,10,482,44,1,1344,202.52,30,2,26,3.3,13,Poor
3,10,579,50,3,1882,232.32,47,2,26,3.21,15,Poor
3,8,406,50,1,1021,198.13,45,2,33,3.32,11,Poor
5,15,771,27,4,4470,112.46,23,1,59,1.3,9,Avg
10,20,822,19,8,6101,5.35,14,0,83,0.25,0,Good
5,12,768,37,5,3334,76.91,26,1,44,1.2,7,Avg
7,20,996,13,9,8858,71.62,7,0,66,0.1,2,Good
3,10,575,44,3,1472,217.12,44,2,22,2.58,12,Poor
8,16,859,15,10,6445,79.51,7,0,95,0.42,4,Good
1,7,452,42,1,1043,238.89,33,2,24,3.69,15,Poor
5,11,770,30,4,4719,77.66,17,1,47,1.43,8,Avg
10,18,1079,19,8,7792,53.45,6,0,91,0.22,0,Good
4,13,747,21,5,3038,110.43,27,1,59,1.01,8,Avg
2,7,434,50,1,1954,164.8,37,2,36,3.64,14,Poor
5,11,678,26,5,2328,94.69,18,1,49,1.17,10,Avg
1,9,568,47,2,1468,155.25,40,2,38,3.7,14,Poor
4,14,712,25,6,2057,112.62,28,1,54,0.8,6,Avg
4,15,673,31,6,2943,137.66,29,1,48,1.07,9,Avg
7,18,893,14,10,8632,70.6,10,0,72,0.31,3,Good
5,15,727,32,4,3422,85.11,15,1,58,1.25,11,Avg
3,10,452,48,1,1864,244.22,34,2,29,3.82,10,Poor
3,9,530,40,3,1205,208.92,47,2,38,3.3,15,Poor
6,11,721,30,6,4468,76.62,28,1,59,1.36,8,Avg
4,14,616,39,5,2763,148.26,18,1,56,1.16,11,Avg
3,9,486,46,3,1778,215.87,33,2,35,3.31,10,Poor
4,15,681,26,5,2524,142.37,20,1,54,0.66,6,Avg
10,16,1028,18,10,8183,46.63,8,0,97,0.38,2,Good
7,19,1058,19,9,8786,76.77,13,0,95,0.1,0,Good
1,10,434,48,2,1529,229.75,48,2,27,2.94,15,Poor
1,9,559,47,1,1853,215.99,47,2,31,3.73,15,Poor
10,17,848,16,10,5617,14.07,2,0,68,0.14,2,Good
10,19,1043,0,10,8768,6.29,13,0,77,0.12,2,Good
1,7,483,43,2,1719,161.87,37,2,30,3.57,14,Poor
9,19,999,18,9,6242,91.25,9,0,80,0.16,0,Good
5,13,785,32,4,3927,86.08,15,1,46,1.12,8,Avg
3,10,532,45,2,1105,227.79,50,2,33,2.93,10,Poor
4,15,728,26,6,3357,147.16,16,1,41,1.3,11,Avg
4,14,758,24,4,3003,123.68,18,1,60,0.9,10,Avg
8,17,823,0,9,8203,75.49,12,0,85,0.42,0,Good
5,12,689,35,6,2637,129.15,22,1,53,1.43,7,Avg
4,11,719,22,6,2726,123.72,22,1,52,1.05,10,Avg
2,9,562,47,3,1310,178.86,35,2,36,3.3,14,Poor
2,8,521,45,2,1772,162.65,38,2,21,3.49,15,Poor
8,16,1056,16,7,5024,66.12,11,0,64,0.41,4,Good
4,14,644,27,6,2953,84.84,29,1,51,1.29,7,Avg
5,15,630,36,4,2994,137.55,29,1,44,0.86,8,Avg
7,17,1070,16,9,7155,1.29,10,0,68,0.4,0,Good
3,10,539,41,2,1125,156.87,45,2,26,3.25,14,Poor
1,7,533,43,1,1224,164.95,42,2,22,2.73,11,Poor
4,14,746,31,6,4430,79.93,15,1,50,1.21,7,Avg
7,19,1025,19,10,5396,5.05,0,0,74,0.1,0,Good
10,16,1052,14,9,6906,54.26,12,0,99,0.13,0,Good
9,17,937,12,9,6925,84.54,0,0,90,0.39,1,Good
9,17,966,19,9,8888,61.34,5,0,96,0.16,1,Good
9,17,951,2,10,8559,68.25,1,0,98,0.3,5,Good
2,8,430,44,3,1959,157.33,38,2,26,3.7,13,Poor
2,7,412,45,3,1139,246.14,40,2,38,2.51,13,Poor
6,11,773,36,4,4635,117.15,19,1,46,0.59,10,Avg
7,18,839,11,10,5589,28.68,5,0,94,0.12,2,Good
7,16,1022,6,9,7266,34.55,12,0,93,0.45,1,Good
3,7,530,45,1,1051,234.28,30,2,29,2.78,12,Poor
10,18,1001,9,8,6410,16.69,8,0,85,0.18,3,Good
10,20,959,5,7,8251,22.91,8,0,65,0.19,4,Good
7,20,877,16,9,5474,75.95,13,0,74,0.24,0,Good
2,8,562,49,1,1999,236.88,30,2,33,3.67,10,Poor
4,15,653,38,5,3449,139.1,19,1,49,0.56,9,Avg
2,8,547,48,1,1687,156.46,47,2,21,3.43,12,Poor
10,19,1061,11,9,6350,55.2,12,0,72,0.12,1,Good
6,13,616,26,6,3415,111.35,27,1,46,0.87,11,Avg
2,10,479,42,1,1169,222.35,45,2,33,2.5,15,Poor
7,20,856,8,10,6826,85.72,10,0,72,0.1,0,Good
2,9,428,42,1,1489,230.78,39,2,26,3.96,12,Poor
5,13,675,29,5,4414,87.29,21,1,57,0.71,6,Avg
5,11,654,39,5,2713,81.82,21,1,58,1.45,7,Avg
8,17,827,14,9,7874,6.22,3,0,67,0.44,7,Good
4,14,662,31,5,2029,105.61,21,1,50,1.14,8,Avg
10,16,890,2,10,8114,31.21,0,0,70,0.23,7,Good
4,13,658,22,5,4003,87.18,20,1,58,0.87,11,Avg
4,11,751,24,5,4323,125.1,18,1,51,1.29,9,Avg
5,14,704,26,4,2917,87.56,25,1,46,0.63,6,Avg
7,17,904,15,7,5178,8.36,14,0,81,0.11,3,Good
2,10,404,45,1,1306,153.49,37,2,37,2.56,11,Poor
3,8,598,49,3,1434,242.88,41,2,28,2.93,11,Poor
3,10,515,44,2,1446,174.12,35,2,23,3.12,15,Poor
4,14,703,34,5,2643,134.71,17,1,48,0.88,10,Avg
3,9,476,49,1,1550,197.41,31,2,39,2.68,13,Poor
